album,artist,genre,link
Ology,Gallant,R&B,https://open.spotify.com/album/52YexOrZsaFHvi4jqTWOmu
SEPT 5TH,dvsn,R&B,https://open.spotify.com/album/0jLynoED1FbV2Ky7vU6Pjc
Skin,Flume,Electronic,https://open.spotify.com/album/6VHCF8ykDo3STafE5JfMAs
ANTI,Rihanna,Pop,https://open.spotify.com/album/3Q149ZH46Z0f3oDR7vlDYV
"22, A Million",Bon Iver,Indie,https://open.spotify.com/album/1PgfRdl3lPyACfUGH4pquG
"Awaken, My Love!",Childish Gambino,Funk,https://open.spotify.com/album/4xnq1L6P551Qcb9gBXNMK7
Coloring Book,Chance The Rapper,Hip-Hop,https://open.spotify.com/album/71QyofYesSsRMwFOTafnhB
The Colour In Anything,James Blake,Indie,https://open.spotify.com/album/1WyrGCkFDlH1xPadZ5qTkL
Epoch,Tycho,Rock,https://open.spotify.com/album/0GXI4iAc5FshqWgIlaNAXO
This Is Acting,Sia,Pop,https://open.spotify.com/album/77jAfTh3KH9K2reMOmTgOh
iii,Miike Snow,Rock,https://open.spotify.com/album/3pWJFrSX6apPzt4inM4zXt
Debris,KRNE,Electronic,https://open.spotify.com/album/1vNLo9gXljAUN5MgmqO4Y6
Dangerous Woman,Ariana Grande,Pop,https://open.spotify.com/album/3OZgEywV4krCZ814pTJWr7
The Altar,Banks,Indie,https://open.spotify.com/album/2WzQeYsbrDq1UcVZmY8dVR
25,Adele,Pop,https://open.spotify.com/album/0K4pIOOsfJ9lK8OjrZfXzd
Breakfast,Lawrence,Rock,https://open.spotify.com/album/48pEv4Aat4rTDSUi6lqnvS
All My Demons Greeting Me As A Friend,Aurora,Indie,https://open.spotify.com/album/7ElzXR2E3kekE4wX1zDZq2
Johannesburg,Mumford & Sons,Folk,https://open.spotify.com/album/3WGJXLGBMs7csDM4yxPH0p
Conscious,Broods,Indie,https://open.spotify.com/album/61RfrwKu6wJmaZYh3xt0mF
A Seat at the Table,Solange,R&B,https://open.spotify.com/album/3Yko2SxDk4hc6fncIBQlcM
Junk,M83,Pop,https://open.spotify.com/album/0iSRofVrTOCOs841JkSgwk
Faraway Reach,Classixx,Electronic,https://open.spotify.com/album/3KT9QNIafj30qBzITE11dI
West Of The West,Goldroom,Indie,https://open.spotify.com/album/1CNxJCixrOSJxMo5pz5ZaP
Aa,Baauer,Electronic,https://open.spotify.com/album/0zIjHYbzEbHSCyB1iQL3Vn
Three,Phantogram,Indie,https://open.spotify.com/album/0NQ6Dn9si4mgFKoRoBGkn8
Collage,The Chainsmokers,Electronic,https://open.spotify.com/album/22rp3PnM3q2mtTI0OGCzpq
Aftermath,Lemaitre,Electronic,https://open.spotify.com/album/6L2lFby7iHuEm8sX3e15at
Culcha Vulcha,Snarky Puppy,Funk,https://open.spotify.com/album/2y5N5FEb9giR3d1BP9wX9n
The Life Of Pablo,Kanye West,Hip-Hop,https://open.spotify.com/album/2f4cvZmkZqlzjNf7bcmeCb
Need Your Light,Ra Ra Riot,Rock,https://open.spotify.com/album/5JPUCM3RuyqZpCxWnJ71Cs
Gouldian Finch,bitbird,Electronic,https://open.spotify.com/album/01IlVCGe4QjYPs9LVqyPZl
Long Way Home,Låpsley,Pop,https://open.spotify.com/album/6yhHW85d9Z6D3uyvLZSZxI
i think you think too much of me,EDEN,Rock,https://open.spotify.com/album/7AVvQhnDEUidKyJsXmQ7ju
Family Potrait,Point Point,Electronic,https://open.spotify.com/album/6vtMs29mzabSqMhWnJXBy3
Home of the Strange,Young the Giant,Rock,https://open.spotify.com/album/3PYk8e7eo2t5CA1Y3AvhaG
GENERATIONWHY,ZHU,Electronic,https://open.spotify.com/album/6Xhb46t8f3z8FkuXQAj4UV
Sunlit Youth,Local Natives,Rock,https://open.spotify.com/album/2qiPY1CqHGexT4yWrQ5uX0
Lunacy,Bonzai,Indie,https://open.spotify.com/album/3cQRLUHtOz340bMBxyAwnF
Cleopatra,The Lumineers,Rock,https://open.spotify.com/album/2zbTrm2pIAErzFSopinkbN
Sonderlust,Kishi Bashi,Indie,https://open.spotify.com/album/3prBy9ITryUQUYKuUTn4EM
(m)edian,Ta-ku & Wafia,Indie,https://open.spotify.com/album/1ufBv80hvKP0VHRB5Ralyt
A B,Kaleo,Indie,https://open.spotify.com/album/4he4SQup02hEIQdwhZlZlk
Pure in the Plastic,Polyenso,Rock,https://open.spotify.com/album/1SNh5gpQeQzABofAsJtCUE
We got it from Here... Thank You 4 Your service,A Tribe Called Quest,Hip-Hop,https://open.spotify.com/album/3WvQpufOsPzkZvcSuynCf3
Big Mess,Grouplove,Indie,https://open.spotify.com/album/5gZHghY3oAmBRYXx7LUbaK
Bad Vibrations,A Day To Remember,Rock,https://open.spotify.com/album/5rSgMFmmuaKQxma4bSEviU
Matter,St. Lucia,Pop,https://open.spotify.com/album/4qH5TQZxM5v7tKT0E09WAK
Why Are You OK,Band of Horses,Rock,https://open.spotify.com/album/4xBayAng8qIv3227mj3xjN
It Doesn't Have to Make Sense,Ingrid Michaelson,Pop,https://open.spotify.com/album/1oMFudOxU0ugO1YRPLRXBR
Illuminate,Shawn Mendes,Pop,https://open.spotify.com/album/6NbJ2KltIngYzQ7vokMATA
Weezer,Weezer (White Album),Rock,https://open.spotify.com/album/6StNTJJ7Yq3Hf121kLvPBz
Wild World,Bastille,Rock,https://open.spotify.com/album/1qKjUIVG8KmtYceDBWjfqE
ACT ONE,Marian Hill,Electronic,https://open.spotify.com/album/5laClXclOn3sCQOWKqFohJ
How To Be A Human Being,Glass Animals,Indie,https://open.spotify.com/album/6qb9MDR0lfsN9a2pw77uJy
Encore,DJ Snake,Electronic,https://open.spotify.com/album/02sEJTj1sye1JaqxqpcSCp
JEFFERY,Young Thug,Hip-Hop,https://open.spotify.com/album/7EpUpNUkkEGnaCvkcn1j4H
Views,Drake,Hip-Hop,https://open.spotify.com/album/40GMAhriYJRO1rsY4YdrZb
Along The Shadow,Soasin,Rock,https://open.spotify.com/album/1i1nrIQlV5M9qM9o9Q9jy4
Lukas Graham,Lukas Graham,Pop,https://open.spotify.com/album/4rFrdkSWs0dtj0rWPzOk1v
Cloud Nine,Kygo,Pop,https://open.spotify.com/album/0uMIzWh1uEpHEBell4rlF8
Dream World,araabMUZIK,Electronic,https://open.spotify.com/album/60LldXpRRDHrZ8aj0mDlkF
