album,artist,link
Something to Tell You,HAIM,https://open.spotify.com/track/2wXhdaTnmkkFSOidKfnOxA
SATURATION II,BROCKHAMPTON,https://open.spotify.com/track/42tBlHWL3VfDkUM2iWcc5p
DAMN.,Kendrick Lamar,https://open.spotify.com/track/1n4jwRVXdkK2U34nBDUKKT
Ice Cream,Mosie,https://open.spotify.com/track/5WnXHcDFzUsO42x0m5uJMp
Woodstock,Portugal. The Man,https://open.spotify.com/track/2YSgnpegXNXgk8UxgG8znT
How Did We Get So Dark,Royal Blood,https://open.spotify.com/track/51txLjbvSBRvtxjCjAFLkM
Boomerang,Elliot Moss,https://open.spotify.com/track/33wIYOxUVvm1AahfX3e5aC
I See You,The xx,https://open.spotify.com/track/33B2QbtAj8mbDpwvGTOnBt
Common Sense,J HUS,https://open.spotify.com/track/6e1oZCtCQiGVESDtxgFLTP
A Moment In Time,DROELOE,https://open.spotify.com/track/2IezQkO86sIznt6jbVa4j8
Ctrl,SZA,https://open.spotify.com/track/5wTVNpi5WDByxBgKgUE6MU
What Now,Sylvan Esso,https://open.spotify.com/track/4R0N3Ba0QMWeuG57THGTF9
Something American,Jade Bird,https://open.spotify.com/track/2a1V9QpXiVGHkb6m0vabRU
Love Is Alive EP,Louis The Child,https://open.spotify.com/track/37o2wypJyP6rTfTI9rlaVY
Fenix,Nicky Jam,https://open.spotify.com/track/4Luzip43JUNRDJJR7l8bdb
Flamingo Club,Flamingo Club,https://open.spotify.com/track/7rmrbSrEGGGxxCe9iBacn6
Divide,Ed Sheeran,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
American Teen,Khalid,https://open.spotify.com/track/312WNtMs3F28cUukaPY9bo
Dua Lipa,Dua Lipa,https://open.spotify.com/track/4P76CEIXrrWT2cgS1YrTMr
More Life,Drake,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
hopeless fountain kingdom,Halsey,https://open.spotify.com/track/7gBHiMoHNnPCqt1YR7sM2P
Tremendous Sea of Love,Passion Pit,https://open.spotify.com/track/14RTzSryN23titKrB2XC3J
French Kiwi Juice,FKJ,https://open.spotify.com/track/0uPA6fX70cCdfG172jdcKO
Mura Masa,Mura Masa,https://open.spotify.com/track/5cRCEOCVmqUBRYW8XyFk0d
Everybody,Logic,https://open.spotify.com/track/7fRfIvHPH6bHdMDjPFwTMh
SATURATION,BROCKHAMPTON,https://open.spotify.com/track/2maEFaoAyNjQVv14Hm4esN
9,Cashmere Cat,https://open.spotify.com/track/7I8uO1htDS5K05xNIBmBNb
Gouldian Finch 02,Eastghost,https://open.spotify.com/track/3TwciHgfkX35xR0unS7MyT
Going Grey,The Front Bottoms,https://open.spotify.com/track/3KPp825w9niuNqzXu9AgQ4
New Kind of Normal,Cayetana,https://open.spotify.com/track/4ZEIXVfmrp9PrAKMCFRI4f
Moh Lhean,WHY?,https://open.spotify.com/track/04nQ4gteBUlLYmM74HlRpX
Invincible EP,Big Wild,https://open.spotify.com/track/2sKTYRCgUHXmIhI2hoBuZE
Number 1 Angel,Charli XCX,https://open.spotify.com/track/7Coulic7di20MlW1bEytkQ
SYRE,Jaden Smith,https://open.spotify.com/track/4PvVX27CitqLAamcc0PCRU
Uh Oh!,Tennyson,https://open.spotify.com/track/6rQBbUcQCijl6ndHa4m9sj
Ultralife,Oh Wonder,https://open.spotify.com/track/0cQ5y2ycYOR7KrMG752t8Q
Freudian,Daniel Caesar,https://open.spotify.com/album/3xybjP7r2VsWzwvDQipdM0
Coast Modern,Coast Modern,https://open.spotify.com/track/2fj2N0pJtfVcs5eKX3kxUZ
Morning After,dvsn,https://open.spotify.com/track/0xD824qQkuonQNHe2dSeI4
Capacity,Big Thief,https://open.spotify.com/track/1GHCp5Z1yUTvx0FswutqDo
New Magic,Son Little,https://open.spotify.com/track/1FJZUSAG6s6MoAjxYsX3Yz
Melodrama,Lorde,https://open.spotify.com/track/6ie2Bw3xLj2JcGowOlcMhb
Big Zuu EP,Big Zuu,https://open.spotify.com/track/2blK2bztbUVotIEXLH6TxJ
Plural,Electric Guest,https://open.spotify.com/track/47ww9AwOrtW59ayC72wMff
A Moment Apart,ODESZA,https://open.spotify.com/track/1aRtduEHwvk2AMR87ji9Tg
Connect The Dots,MisterWives,https://open.spotify.com/track/33yQjYsn7eCY2L23JX0m2b
Heartworms,The Shins,https://open.spotify.com/track/6qnaCx4wQQBqFd9XdQyWjC
Grateful,DJ Khaled,https://open.spotify.com/track/7jVCxMS6dYUagRMVYv9Dah
Rainbow,Kesha,https://open.spotify.com/track/318EGw5ZZB8U5MdMWQwxZQ
Flower Boy,"Tyler, The Creator",https://open.spotify.com/track/33i3xxHB4YSYGYbtJrwwO8
"America, Location 12",Dispatch,https://open.spotify.com/track/6B4OBOe0XCBTmLlIi4uR7U
At What Cost,GoldLink,https://open.spotify.com/track/0CN5UmtHPdenaE2yyT7JuZ
Shakey Graves And The Horse He Rode In On (Nobody's Fool and The Donor Blues EP),Shakey Graves,https://open.spotify.com/track/4MUJBFUaAnHO5NUrijf9HC
EGO,RAC,https://open.spotify.com/track/7fGxqyHFmWrs3GhpwSht4H
Steve Lacy's Demo,Steve Lacy,https://open.spotify.com/track/4Z9npQ93MrnIkRcTBKwSa3
