title,rating,link
Bananagrams,10,https://www.boardgamegeek.com/boardgame/27225
Boggle,10,https://www.boardgamegeek.com/boardgame/1293
Dominion,10,https://www.boardgamegeek.com/boardgame/36218
Campy Creatures,9,https://www.boardgamegeek.com/boardgame/214396
Carcassonne,9,https://www.boardgamegeek.com/boardgame/822
Settlers of Catan,9,https://www.boardgamegeek.com/boardgame/13
Scattergories,9,https://www.boardgamegeek.com/boardgame/2381
Smallworld,9,https://www.boardgamegeek.com/boardgame/40692
Ticket to Ride,9,https://www.boardgamegeek.com/boardgame/9209
Risk,8,https://www.boardgamegeek.com/boardgame/181
Control,8,https://www.boardgamegeek.com/boardgame/192240
Secret Hitler,8,https://www.boardgamegeek.com/boardgame/188834
Letter Tycoon,7,https://www.boardgamegeek.com/boardgame/169147
Taboo,7,https://www.boardgamegeek.com/boardgame/1111
Expedition,6,https://www.boardgamegeek.com/boardgame/194298
Jenga,6,https://www.boardgamegeek.com/boardgame/2452
Clue,5,https://www.boardgamegeek.com/boardgame/1294
Go,5,https://www.boardgamegeek.com/boardgame/188
OrganATTACK!,2,https://www.boardgamegeek.com/boardgame/201406
Loop Inc.,?,https://www.boardgamegeek.com/boardgame/163027
Pandemic,?,https://www.boardgamegeek.com/boardgame/30549
Undermine,?,https://www.boardgamegeek.com/boardgame/211175
Vast,?,https://www.boardgamegeek.com/boardgame/170416
