artist,day,rating,link
Hermitude,Thursday,9,https://open.spotify.com/artist/3fmMaLC5jjf2N4EC2kTx0u
Marian Hill,Thursday,9,https://open.spotify.com/artist/1xHQO9GJIW9OXHxGBISYc5
Allen Stone,Friday,10,https://open.spotify.com/artist/536osqBGKzeozje8BfcGsa
Misterwives,Friday,10,https://open.spotify.com/artist/5ivCbtrcD5N4rD337xIb2z
Kamasi Washington,Friday,9,https://open.spotify.com/artist/6HQYnRM4OzToCYPpVBInuU
Chvrches,Friday,7,https://open.spotify.com/artist/3CjlHNtplJyTf9npxaPl5w
Halsey,Friday,10,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2
J Cole,Friday,10,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5
M83,Friday,9,https://open.spotify.com/artist/63MQldklfxkjYDoUE4Tppz
The Chainsmokers,Friday,3,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp
Tame Impala,Friday,8,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb
Judah & The Lion,Saturday,4,https://open.spotify.com/artist/3wWtfT7S2uVJJ3hGZlOLkZ
Two Door Cinema Club,Saturday,10,https://open.spotify.com/artist/536BYVgOnRky0xjsPT96zl
Oh Wonder,Saturday,10,https://open.spotify.com/artist/5cIc3SBFuBLVxJz58W2tU9
HAIM,Saturday,8,https://open.spotify.com/artist/4Ui2kfOqGujY81UcPrb5KE
Ellie Goulding,Saturday,10,https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ
Pearl Jam,Saturday,7,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56
Superjam,Saturday,10,https://www.bonnaroo.com/artist/superjam/
Big Grams,Saturday,7,https://open.spotify.com/artist/4jU68Hm8np6WNZXMqi7rz3
Givers,Sunday,9,https://open.spotify.com/artist/6t4Gtzu86ovaXYUmAL2zb3
Lettuce,Sunday,8,https://open.spotify.com/artist/1fZXjUQEkVbB0TvZX4qFR8
Death Cab for Cutie,Sunday,7,https://open.spotify.com/artist/0YrtvWJMgSdVrk3SfNjTbx
Third Eye Blind,Sunday,8,https://open.spotify.com/artist/6TcnmlCSxihzWOQJ8k0rNS
The Bluegrass Situation,Sunday,7,http://www.thebluegrasssituation.com/
Dead & Company,Sunday,8,https://open.spotify.com/artist/4TMHGUX5WI7OOm53PqSDAT
