album,artist,genre,link
Our Own House,Misterwives,Indie
Surf,Donnie Trumpet & The Social Experiment,Hip-Hop
Lantern,Hudson Mohawke,Electronic
Blurryface,Twenty One Pilots,Indie
another eternity,Purity Ring,Electronic
Know-It-All,Alessia Cara,Pop
Someday Somewhere,Mura Masa,Electronic
BADLANDS,Halsey,Indie
In Colour,Jamie XX,Electronic
The Firewatcher’s Daughter,Brandi Carlile,Folk
Victory EP,San Holo,Electronic
Peace Is The Mission,Major Lazer,Electronic
Oh Wonder,Oh Wonder,Indie
M3LL155X,FKA twigs,R&B
Urban Flora,Alina Baraz & Galimatias,Electronic
Mellow Drama,Kevin Garrett,Pop
Without My Enemy What Would I Do,Made in Heights,Electronic
To Pimp A Butterfly,Kendrick Lamar,Hip-Hop
Purpose,Justin Bieber,Pop
Every Open Eye,CHVRCHES,Indie
Evermotion,Guster,Rock
Quit This City,Grandtheft,Electronic
New Glow,Matt and Kim,Indie
Wilder Mind,Mumford & Sons,Folk
Mr. Wonderful,Action Bronson,Hip-Hop
Adventure,Madeon,Electronic
There’s More To Life,Dylan Owen,Hip-Hop
Sway,Marian Hill,Indie
Beauty Behind The Madness,The Weeknd,R&B
"How Big, How Blue, How Beautiful",Florence + The Machine,Rock
The Shape of Brat Pop to Come,HOLYCHILD,Indie
Confident,Demi Lovato,Pop
Professional Rapper,Lil Dicky,Hip-Hop
So There,Ben Folds,Rock
Kintsugi,Death Cab for Cutie,Rock
The Fool,Ryn Weaver,Indie
Glitterbug,The Wombats,Rock
Jack U,Jack U,Electronic
COLLXTION I,Allie X,Pop
Delirium,Ellie Goulding,Pop
Superspeed,Lido x Canblaster,Electronic
If I Should Go Before You,City and Colour,Rock
Handwritten,Shawn Mendes,Pop
Currents,Tame Impala,Rock
Space,Rozzi Crane,Pop
This Mixtape is Fire,Dillon Francis,Electronic
Beneath The Skin,Of Monsters and Men,Rock
Kindred,Passion Pit,Indie
Kids In Love,The Mowgli’s,Rock
Forenn,Forenn,Rock
